                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1916,                 1.8743,                 1.0789,                0.83129,                0.66499,                0.76946,                0.54518,                  1.115,                 1.3215,                 1.0912,             0.00066583,             0.00066583,             0.00066583
                      2,                 1.0828,                 1.0809,                 1.0398,                0.91502,                0.79849,                0.86492,                0.68689,                0.83697,                0.83162,                0.95595,               0.001144,               0.001144,               0.001144
                      3,                0.98193,                0.89586,                 1.0034,                0.93162,                 0.7207,                0.79102,                0.65189,                0.78011,                0.89457,                0.96194,              0.0014337,              0.0014337,              0.0014337
                      4,                 0.8928,                 0.7674,                 0.9657,                0.77397,                0.68766,                0.75057,                0.60831,                0.78221,                 1.0511,                0.93346,              0.0011514,              0.0011514,              0.0011514
                      5,                0.81675,                0.66626,                0.93568,                0.99172,                0.90489,                0.95508,                0.80209,                0.62226,                0.48053,                0.87221,             0.00086857,             0.00086857,             0.00086857
                      6,                0.71951,                0.55985,                0.90546,                0.99195,                0.95718,                0.98086,                 0.8554,                 0.5274,                0.37659,                0.84092,             0.00058571,             0.00058571,             0.00058571
                      7,                0.65392,                0.47365,                0.88127,                0.98954,                0.95286,                0.98399,                0.87439,                0.47167,                0.32677,                0.82307,             0.00030286,             0.00030286,             0.00030286
